country,iso3,continent,lat_grid,lon_grid,inform_risk_score,risk_label,eq_count,eq_mag_mean,eq_depth_mean,has_seismic_activity,eq_frequency_score,seismic_energy_proxy,mag_depth_ratio,depth_category,lat_abs,neighbor_eq_count
Russian Federation,RUS,Europe,66.5,-179.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.0
Russian Federation,RUS,Europe,67.5,-179.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,67.5,0.0
Russian Federation,RUS,Europe,68.5,-179.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.0
Russian Federation,RUS,Europe,71.5,-179.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,71.5,0.0
Russian Federation,RUS,Europe,65.5,-178.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,65.5,5.338942844899944e-05
Russian Federation,RUS,Europe,66.5,-178.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,3.238266538698647e-05
Russian Federation,RUS,Europe,67.5,-178.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,67.5,7.2256402013659465e-06
Russian Federation,RUS,Europe,65.5,-177.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,65.5,0.0019054106990161565
Russian Federation,RUS,Europe,66.5,-177.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.0011437217097813501
Russian Federation,RUS,Europe,67.5,-177.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,67.5,0.0002542933215720638
Russian Federation,RUS,Europe,65.5,-176.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,65.5,0.02581190414649898
Russian Federation,RUS,Europe,66.5,-176.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.015330249230158756
Russian Federation,RUS,Europe,67.5,-176.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,67.5,0.0034074337467362354
Russian Federation,RUS,Europe,65.5,-175.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,65.5,0.1421143365728888
Russian Federation,RUS,Europe,66.5,-175.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.08401686379688178
Russian Federation,RUS,Europe,65.5,-174.5,4.0,Medium,1,4.5,10.0,1,0.6931471805599453,5623413.251903491,0.4090909090909091,1,65.5,0.34489687254495405
Russian Federation,RUS,Europe,64.5,-173.5,4.0,Medium,1,4.6,10.0,1,0.6931471805599453,7943282.347242805,0.41818181818181815,1,64.5,0.3462011639889934
Russian Federation,RUS,Europe,65.5,-173.5,4.0,Medium,2,4.5,10.0,1,1.0986122886681098,5623413.251903491,0.4090909090909091,1,65.5,0.42162840910171084
Russian Federation,RUS,Europe,66.5,-173.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.25827503180143074
Russian Federation,RUS,Europe,65.5,-172.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,65.5,0.28658081426882187
Russian Federation,RUS,Europe,66.5,-172.5,4.0,Medium,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.21499771260872005
United States of America,USA,North America,63.5,-171.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,63.5,0.021389193433353004
Russian Federation,RUS,Europe,66.5,-171.5,4.0,Medium,1,4.6,10.0,1,0.6931471805599453,7943282.347242805,0.41818181818181815,1,66.5,0.17604279635392583
United States of America,USA,North America,63.5,-170.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,63.5,0.011318609372887221
United States of America,USA,North America,65.5,-167.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,65.5,0.2658737316527457
United States of America,USA,North America,65.5,-166.5,3.2,Low,3,4.8,18.8,1,1.3862943611198906,15848931.924611108,0.2424242424242424,1,65.5,0.40565669502896484
United States of America,USA,North America,68.5,-166.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.0062179286082857926
