country,iso3,continent,lat_grid,lon_grid,inform_risk_score,risk_label,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean
Russian Federation,RUS,Europe,66.5,-179.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,67.5,-179.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,68.5,-179.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,71.5,-179.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,65.5,-178.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,66.5,-178.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,67.5,-178.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,65.5,-177.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,66.5,-177.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,67.5,-177.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,65.5,-176.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,66.5,-176.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,67.5,-176.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,65.5,-175.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,66.5,-175.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,65.5,-174.5,4.0,Medium,1,4.5,4.5,10.0
Russian Federation,RUS,Europe,64.5,-173.5,4.0,Medium,1,4.6,4.6,10.0
Russian Federation,RUS,Europe,65.5,-173.5,4.0,Medium,2,4.5,4.5,10.0
Russian Federation,RUS,Europe,66.5,-173.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,65.5,-172.5,4.0,Medium,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,66.5,-172.5,4.0,Medium,0,0.0,0.0,0.0
United States of America,USA,North America,63.5,-171.5,3.2,Low,0,0.0,0.0,0.0
Russian Federation,RUS,Europe,66.5,-171.5,4.0,Medium,1,4.6,4.6,10.0
United States of America,USA,North America,63.5,-170.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-167.5,3.2,Low,0,0.0,0.0,0.0
