country,iso3,inform_risk_score,risk_label,lat_grid,lon_grid,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean
Afghanistan,AFG,7.7,High,34.0,68.0,51,4.750980392156863,5.9,45.483647058823536
Albania,ALB,3.0,Low,42.0,20.0,6,5.066666666666666,5.7,7.5
Algeria,DZA,3.4,Low,32.0,0.0,1,4.5,4.5,10.0
Angola,AGO,5.3,Medium,-14.0,20.0,1,4.6,4.6,10.0
Argentina,ARG,3.1,Low,-38.0,-64.0,1,4.5,4.5,10.0
Armenia,ARM,3.0,Low,40.0,44.0,9,4.877777777777777,5.3,9.94888888888889
Australia,AUS,2.4,Low,-22.0,132.0,1,4.9,4.9,10.0
Austria,AUT,2.4,Low,46.0,14.0,1,4.7,4.7,10.0
Azerbaijan,AZE,4.1,Medium,40.0,48.0,25,4.956,6.8,30.93084
Bangladesh,BGD,6.1,High,24.0,90.0,13,4.723076923076923,5.3,21.113076923076925
Belgium,BEL,2.6,Low,50.0,4.0,1,4.8,4.8,10.0
Belize,BLZ,3.1,Low,16.0,-88.0,26,4.9,7.3,13.585384615384616
Benin,BEN,5.1,Medium,6.0,4.0,1,4.5,4.5,10.0
Bhutan,BTN,2.7,Low,28.0,90.0,26,4.838461538461538,6.3,13.326923076923077
Bolivia,BOL,4.2,Medium,-18.0,-64.0,10,4.74,5.3,26.93
Bosnia and Herzegovina,BIH,3.3,Low,44.0,18.0,3,4.6000000000000005,4.8,9.086666666666666
Botswana,BWA,2.9,Low,-24.0,24.0,10,4.95,6.5,13.453999999999999
Brazil,BRA,5.1,Medium,-14.0,-50.0,1,5.0,5.0,10.0
Brunei Darussalam,BRN,2.3,Low,4.0,114.0,1,4.5,4.5,24.7
Bulgaria,BGR,2.6,Low,42.0,26.0,2,4.6,4.6,10.0
Burundi,BDI,5.8,Medium,-2.0,30.0,1,5.9,5.9,40.0
Cabo Verde,CPV,2.1,Low,16.0,-26.0,1,5.3,5.3,10.0
Cambodia,KHM,4.4,Medium,14.0,108.0,5,4.64,4.8,9.995000000000001
Cameroon,CMR,6.6,High,4.0,10.0,1,4.6,4.6,10.0
Chile,CHL,3.1,Low,-36.0,-72.0,262,4.833206106870229,7.0,46.18110687022901
China,CHN,2.9,Low,36.0,104.0,2,4.6,4.7,10.0
Colombia,COL,5.2,Medium,4.0,-74.0,24,4.854166666666667,6.1,46.23291666666666
Congo,COG,4.7,Medium,0.0,16.0,1,4.6,4.6,10.0
Congo DR,COD,7.7,High,-4.0,22.0,3,4.533333333333333,4.6,10.0
Costa Rica,CRI,3.3,Low,10.0,-84.0,15,4.593333333333334,5.2,16.621333333333332
Côte d'Ivoire,CIV,4.5,Medium,8.0,-10.0,2,4.65,4.8,10.0
Croatia,HRV,2.5,Low,46.0,16.0,3,4.866666666666666,5.1,10.0
Cuba,CUB,3.3,Low,20.0,-78.0,2,4.9,5.0,10.0
Cyprus,CYP,2.8,Low,36.0,34.0,18,4.699999999999999,5.5,11.68311111111111
Czech Republic,CZE,1.8,Low,50.0,16.0,36,4.663888888888889,5.0,5.064527777777778
Denmark,DNK,1.3,Low,52.0,8.0,1,4.5,4.5,5.5
Djibouti,DJI,4.8,Medium,12.0,42.0,15,4.86,5.4,10.033333333333333
Dominican Republic,DOM,4.2,Medium,18.0,-70.0,55,4.713818181818182,5.8,83.88770909090908
Ecuador,ECU,5.4,Medium,-2.0,-78.0,69,4.83768115942029,7.1,151.38020289855072
Egypt,EGY,4.3,Medium,26.0,30.0,1,4.7,4.7,10.0
El Salvador,SLV,4.0,Medium,14.0,-88.0,20,4.805,5.4,17.056
Equatorial Guinea,GNQ,3.3,Low,4.0,10.0,1,4.6,4.6,10.0
Eritrea,ERI,4.3,Medium,16.0,40.0,18,4.716666666666667,5.5,10.729444444444445
Eswatini,SWZ,3.2,Low,-26.0,30.0,1,4.6,4.6,5.0
Ethiopia,ETH,6.9,High,10.0,40.0,7,4.642857142857143,5.0,10.65
Fiji,FJI,3.0,Low,-16.0,178.0,18,5.083333333333333,6.2,24.24811111111111
France,FRA,2.6,Low,44.0,4.0,1,4.8,4.8,10.0
Gabon,GAB,3.6,Medium,-2.0,10.0,9,4.822222222222222,5.5,9.777777777777779
Gambia,GMB,4.0,Medium,10.0,-14.0,1,5.0,5.0,10.0
Georgia,GEO,3.3,Low,42.0,44.0,13,4.669230769230769,5.3,32.861538461538466
Germany,DEU,2.6,Low,52.0,8.0,1,4.5,4.5,5.5
Greece,GRC,2.9,Low,40.0,22.0,14,4.7,5.3,10.484357142857144
Guatemala,GTM,5.2,Medium,16.0,-90.0,1,4.5,4.5,10.0
Guinea,GIN,4.7,Medium,10.0,-12.0,1,4.6,4.6,13.66
Guinea-Bissau,GNB,4.1,Medium,10.0,-14.0,1,5.0,5.0,10.0
Guyana,GUY,3.8,Medium,2.0,-60.0,2,5.15,5.5,7.605
Haiti,HTI,7.4,High,18.0,-72.0,56,4.726785714285714,6.4,29.899624999999997
